Rank,Title,Author,Review Score,Reviewer Numbers,Book Type,Price
1,暗殺,柴田 哲孝,4.3,468,単行本,"1,980"
2,龍で開運！　運気爆発を叶えるすごい神様,桜井 識子,,,単行本,"1,760"
3,国史教科書 第７版 検定合格 市販版 中学校社会用,竹田恒泰,5.0,34,単行本（ソフトカバー）,"2,000"
4,【Amazon.co.jp 】雨に降られたとしても（特典：雨栗のデジタルサイン入りイラスト データ配信）,雨栗,,,単行本（ソフトカバー）,"1,650"
5,子どもとの関係が変わる　自分の親に読んでほしかった本,フィリッパ・ペリー,4.3,224,単行本（ソフトカバー）,"2,420"
6,3か月でマスターする 数学 (NHKシリーズ),秋山 仁,4.6,27,ムック,"1,650"
7,syunkonカフェごはん８ 読むとやる気が出る簡単絶品レシピ (TJMOOK),山本 ゆり,4.8,47,ムック,"1,034"
8,オードリーのオールナイトニッポン in 東京ドーム　公式余韻本,オードリー,,,単行本（ソフトカバー）,"2,420"
9,ようこそ実力至上主義の教室へ 2年生編12 (MF文庫J),衣笠彰梧,,,文庫,748
10,世界広布の翼を広げて 教学研鑽のためにー観心本尊抄(第2版),創価学会教学部編,4.2,12,単行本,800
11,タッチペンで音が聞ける!はじめてずかん1000 英語つき ([バラエティ]),小学館,4.7,"1,716",大型本,"4,928"
12,戦略的いい人　残念ないい人の考え方,けーりん（唐仁原 けいこ）,,,単行本,"1,650"
13,私が見た未来 完全版,たつき諒,4.0,"12,241",単行本（ソフトカバー）,855
14,つかめ！理科ダマン 7 みんなで地球を冒険！編,シン・テフン,,,単行本（ソフトカバー）,"1,300"
15,ロジカルダイエット 3か月で「勝手に痩せる体」になる (幻冬舎新書),清水 忍,4.0,171,新書,706
16,くもんの夏休みドリル小学2年生,,4.3,129,ムック,660
17,TOEIC L & R TEST 出る単特急 金のフレーズ (TOEIC TEST 特急シリーズ),TEX加藤,4.4,"4,655",新書,220
18,きみのお金は誰のため: ボスが教えてくれた「お金の謎」と「社会のしくみ」【読者が選ぶビジネス書グランプリ2024　総合グランプリ「第１位」受賞作】,田内　学,4.5,"2,071",単行本,"1,188"
19,【Amazon.co.jp限定】ゼロから12ヵ国語マスターした私の最強の外国語習得法(DL特典：著者書下ろし原稿（日・英）) (SB新書 653),Kazu Languages,4.5,510,新書,770
20,書いてはいけない――日本経済墜落の真相,森永 卓郎,4.5,"2,876",単行本（ソフトカバー）,"1,213"
21,公式TOEIC Listening & Reading 問題集 11,ETS,,,大型本,"3,300"
22,【Amazon.co.jp限定】混ぜて冷やすor焼くだけ おうちでかんたん ちいさいスイーツレシピ（特典:書籍限定スイーツレシピ　データ配信）,塚原佳樹,,,単行本,"1,793"
23,シャングリラ・フロンティア(18)エキスパンションパス ~クソゲーハンター、神ゲーに挑まんとす~ (講談社キャラクターズA),硬梨菜,,,単行本,"1,485"
24,【令和６年度】 いちばんやさしい ITパスポート　絶対合格の教科書＋出る順問題集,高橋 京介,4.3,324,単行本（ソフトカバー）,"1,760"
25,大岩のいちばんはじめの英文法【超基礎文法編】 (名人の授業),大岩 秀樹,4.4,"2,008",単行本（ソフトカバー）,645
26,自分とか、ないから。教養としての東洋哲学 (サンクチュアリ出版),しんめいP,4.5,381,単行本（ソフトカバー）,"1,650"
27,始皇帝の戦争と将軍たち　秦の中華統一を支えた近臣軍団 (朝日新書),鶴間 和幸,,,新書,957
28,キレイはこれでつくれます,MEGUMI,4.4,"2,338",単行本（ソフトカバー）,"1,091"
29,大学入試問題集 関正生の英文法ポラリス[1 標準レベル],関 正生,4.4,854,単行本,920
30,「何回説明しても伝わらない」はなぜ起こるのか？　認知科学が教えるコミュニケーションの本質と解決策,今井 むつみ,4.1,109,単行本,"1,670"
31,【Amazon.co.jp 限定】ぼくらの to be continued（特典：おおはらMENのイラスト待ち受け画像　データ配信）,おおはらMEN,,,単行本（ソフトカバー）,"1,650"
32,成瀬は天下を取りにいく,宮島　未奈,4.4,"3,467",単行本（ソフトカバー）,"1,152"
33,日本の経済安全保障　国家国民を守る黄金律,高市早苗,5.0,5,単行本,"1,610"
34,【音声アプリ対応】英検2級 でる順パス単 5訂版 (旺文社英検書),旺文社,4.4,953,単行本（ソフトカバー）,"1,381"
35,なぜ働いていると本が読めなくなるのか (集英社新書),三宅 香帆,4.2,781,新書,770
36,ポケットモンスター ポケモン大図鑑1020+ (小学館のカラーワイド),小学館,4.6,55,ムック,900
37,くもんの夏休みドリル小学1年生,,4.4,161,ムック,660
38,パリ五輪2024観戦ガイド (BIGMANスペシャル),世界文化社,,,ムック,"1,098"
39,速読英熟語　改訂版,温井 史朗,4.4,121,単行本（ソフトカバー）,"1,320"
40,笑顔が幸せを運ぶ 365日のていねいな暮らし方,yumi,,,単行本,"1,650"
41,大盛り！夏休みドリル　小学３年生 三訂版,旺文社,4.6,25,単行本,590
42,英単語ターゲット1900 6訂版 (大学JUKEN新書),ターゲット編集部,4.4,"2,317",単行本（ソフトカバー）,715
43,生きのびるための事務,坂口恭平,4.6,260,単行本（ソフトカバー）,"1,310"
44,だいじ だいじ どーこだ?,遠見才希子,4.5,954,ハードカバー,"1,104"
45,糖質疲労,山田 悟,4.1,125,単行本（ソフトカバー）,"1,500"
46,小学生のための ドラえもん 読解力をつけることば図鑑,藤子・ F・不二雄,4.7,45,単行本,"1,980"
47,いますぐ痩せ見え！！　－5㎏コーデ (はちみつコミックエッセイ),きびのあやとら,,,単行本,"1,540"
48,二宮和也のIt [一途],二宮 和也,,,単行本,"4,400"
49,科学的根拠に基づく最高の勉強法,安川 康介,4.6,574,単行本,"1,543"
